product_id,photo_color,agreement,garment_ratio,reason
MS7013636,,0.665,0.1141,low_agreement
MS7013633,,0.537,0.2002,low_agreement
MS7013644,,0.623,0.1186,low_agreement
MS6272204,,0.463,0.0975,low_agreement
MS6944573,,0.400,0.0301,low_agreement
MS6859805,,0.575,0.2732,low_agreement
MS6809274,,0.720,0.1815,low_agreement
MS6859762,,0.682,0.0788,low_agreement
MS6897442,,0.458,0.2453,low_agreement
MS7074582,,0.570,0.2250,low_agreement
MS6952846,,0.362,0.1300,low_agreement
MS7124783,화이트,0.998,0.2559,garment_vote
MS7022554,화이트,0.978,0.1087,garment_vote
